Company Name,Industry,Round/Series,Location,About Company,Cleaned_amount($),Year,Company/Brand,HeadQuarter,Sector,Investor,Amount($),Stage,Company_Name,column10
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",,2018,,,,,,,,
Happy Cow Dairy,"Agriculture, Farming",Seed,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,,2018,,,,,,,,
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,,2018,,,,,,,,
PayMe India,"Financial Services, FinTech",Angel,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,,2018,,,,,,,,
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,,2018,,,,,,,,
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",,2018,,,,,,,,
Tripshelf,"Internet, Leisure, Marketplace",Seed,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,,2018,,,,,,,,
Hyperdata.IO,Market Research,Angel,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,,2018,,,,,,,,
Freightwalla,"Information Services, Information Technology",Seed,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,,2018,,,,,,,,
Microchip Payments,Mobile Payments,Seed,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,,2018,,,,,,,,
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,,2018,,,,,,,,
Emojifi,Internet,Seed,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",,2018,,,,,,,,
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,,2018,,,,,,,,
Freshboxx,Food Delivery,Seed,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",,2018,,,,,,,,
Wide Mobility Mechatronics,Industrial Automation,Seed,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,,2018,,,,,,,,
Pitstop,"Automotive, Search Engine, Service Industry",Seed,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,,2018,,,,,,,,
Mihuru,"Finance, Internet, Travel",Seed,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,,2018,,,,,,,,
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,,2018,,,,,,,,
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,,2018,,,,,,,,
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,,2018,,,,,,,,
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,"Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,,2018,,,,,,,,
PaisaDukan,Financial Services,Seed,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,,2018,,,,,,,,
Sleepy Owl Coffee,Food and Beverage,Seed,"New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",,2018,,,,,,,,
BlueJack,Autonomous Vehicles,Seed,"Delhi, Delhi, India",Delhi-based online used vehicles marketplace.,,2018,,,,,,,,
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,,2018,,,,,,,,
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,,2018,,,,,,,,
Pando,"Logistics, Supply Chain Management",Seed,"Chennai, Tamil Nadu, India",A startup which digitizes logistics operations for Fortune 500 companies.,,2018,,,,,,,,
Mintifi,"Financial Services, Lending",Seed,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,,2018,,,,,,,,
Carcrew,"Automotive, Marketplace, Online Portals",Seed,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,,2018,,,,,,,,
NicheAI,Artificial Intelligence,Angel,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,,2018,,,,,,,,
Chariot Tech,"Internet of Things, Telecommunications",Seed,"New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,,2018,,,,,,,,
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,,2018,,,,,,,,
Loanzen,Financial Services,Seed,"Bangalore, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,,2018,,,,,,,,
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,,2018,,,,,,,,
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",,2018,,,,,,,,
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,"Bengaluru, Karnataka, India",LoadShare is India’s fastest growing logistics company,,2018,,,,,,,,
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,,2018,,,,,,,,
Kriger Campus,Education,Seed,"New Delhi, Delhi, India",A Education Start Up.,,2018,,,,,,,,
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,,2018,,,,,,,,
Kaleidofin,Financial Services,Seed,"Chennai, Tamil Nadu, India",A fintech platform.,,2018,,,,,,,,
Chakr Innovation,Renewable Energy,Seed,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,,2018,,,,,,,,
IndigoLearn,"E-Learning, Education",Seed,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,,2018,,,,,,,,
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,"India, Asia",UClean is a tech enabled laundry service provider.,,2018,,,,,,,,
Coutloot,"E-Commerce, Fashion, Mobile",Seed,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,,2018,,,,,,,,
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",,2018,,,,,,,,
Pooltoo,Transportation,Seed,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.,,2018,,,,,,,,
Finzy,"Financial Services, Lending",Seed,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.,,2018,,,,,,,,
Fitternity,"Fitness, Health Care, Wellness",Seed,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,,2018,,,,,,,,
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,,2018,,,,,,,,
Tolet for Students,Hospitality,Seed,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",,2018,,,,,,,,
Chai Kings,"Food and Beverage, Tea",Seed,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,,2018,,,,,,,,
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,,2018,,,,,,,,
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,"Bengaluru, Karnataka, India",Playtoome is a live entertainment destination,,2018,,,,,,,,
ONGO Framework,"B2B, Information Services, Information Technology",Angel,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,,2018,,,,,,,,
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,"New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,,2018,,,,,,,,
Arogya MedTech,"Health Care, Medical",Seed,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,,2018,,,,,,,,
Propshop24,E-Commerce,Seed,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",,2018,,,,,,,,
myUpchar,"Health Care, Hospital, Wellness",Series A,"New Delhi, Delhi, India",To bring health issues to people in their language.,,2018,,,,,,,,
MissMalini Entertainment,—,Seed,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",,2018,,,,,,,,
Rooter,Sports,Seed,"India, Asia",Rooter is a mobile-based platform,,2018,,,,,,,,
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,,2018,,,,,,,,
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,"Bengaluru, Karnataka, India",Advancing AI compute,,2018,,,,,,,,
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,,2018,,,,,,,,
Sattviko,"Food Processing, Retail",Angel,"New Delhi, Delhi, India",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,,2018,,,,,,,,
Sensibull,Trading Platform,Seed,"Bangalore, Karnataka, India",Investment Management Platform,,2018,,,,,,,,
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup,,2018,,,,,,,,
MedCords,Wellness,Seed,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,,2018,,,,,,,,
University Living,Education,Seed,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.,,2018,,,,,,,,
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,,2018,,,,,,,,
Enakshi,Fashion,Seed,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,,2018,,,,,,,,
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,"Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,,2018,,,,,,,,
Inthree Access,"Consulting, Retail, Social",Series A,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,,2018,,,,,,,,
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.,,2018,,,,,,,,
Guardian.in,Health Care,Seed,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,,2018,,,,,,,,
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",,2018,,,,,,,,
Wimoxez,Internet,Seed,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",,2018,,,,,,,,
India Accelerator,"Communities, Coworking, Incubators",Angel,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,,2018,,,,,,,,
HappyEMI,"Consumer, Financial Services, FinTech",Seed,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,,2018,,,,,,,,
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,"Azadpur, Delhi, India",Premium Personal Assistance service,,2018,,,,,,,,
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",,2018,,,,,,,,
Propelld,"Education, Financial Services, FinTech",Seed,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,,2018,,,,,,,,
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,,2018,,,,,,,,
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,,2018,,,,,,,,
Carmesi,Health Care,Seed,"Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,,2018,,,,,,,,
OckyPocky,"E-Learning, Internet, Video Games",Angel,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,,2018,,,,,,,,
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,"Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",,2018,,,,,,,,
WHR,"Health Care, Information Technology",Seed,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",,2018,,,,,,,,
Asteria Aerospace,Aerospace,Seed,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,,2018,,,,,,,,
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",,2018,,,,,,,,
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Seed,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,,2018,,,,,,,,
SBI Life,Insurance,Equity,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,,2018,,,,,,,,
Studds Accessories,E-Commerce,Equity,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,,2018,,,,,,,,
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",,2018,,,,,,,,
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,"New Delhi, Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",,2018,,,,,,,,
Rays Power Infra,"Energy, Solar",,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,,2018,,,,,,,,
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,"Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",,2018,,,,,,,,
Khidki,"Artificial Intelligence, Social",Seed,"Bangalore, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,,2018,,,,,,,,
LetsTransport,"Logistics, Transportation, Travel",Series B,"Bangalore, Karnataka, India",Lets transport is a logistics solution provider.,,2018,,,,,,,,
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,,2018,,,,,,,,
Portea Medical,"Health Care, Hospital, Medical",Debt Financing,"Bangalore, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,,2018,,,,,,,,
Aavas Financiers,"Finance, Financial Services",Debt Financing,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",,2018,,,,,,,,
Swiggy,"Food Delivery, Food Processing, Internet",Series H,"Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,,2018,,,,,,,,
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",,2018,,,,,,,,
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Angel,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,,2018,,,,,,,,
Toppr,"EdTech, Education, Knowledge Management",Series C,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,,2018,,,,,,,,
Jagaran Microfin,—,Debt Financing,"Kolkata, West Bengal, India",Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,,2018,,,,,,,,
Vivriti Capital,Financial Services,,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,,2018,,,,,,,,
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,"New Delhi, Delhi, India",Be U is India's first subscription based Salon Chain.,,2018,,,,,,,,
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,"Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",,2018,,,,,,,,
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,"Gurgaon, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,,2018,,,,,,,,
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,"Gurgaon, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.,,2018,,,,,,,,
Generico,"Health Care, Medical, Pharmaceutical",Series A,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,,2018,,,,,,,,
Adiuvo Diagnostics,Health Diagnostics,Seed,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.,,2018,,,,,,,,
DataTrained,"EdTech, Education",Seed,"Bangalore, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science",,2018,,,,,,,,
OneAssist,"Financial Services, SaaS, Security",Debt Financing,"Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.,,2018,,,,,,,,
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Debt Financing,"New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,,2018,,,,,,,,
APAC Financial Services,"Finance, Financial Services",Equity,"Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.,,2018,,,,,,,,
Moglix,"B2B, E-Commerce, Mobile",Series C,"Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",,2018,,,,,,,,
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",,"Mumbai, Maharashtra, India",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,,2018,,,,,,,,
MadGuy Labs,E-Learning,,"Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.,,2018,,,,,,,,
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,"Pune, Maharashtra, India",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,,2018,,,,,,,,
FLEECA,—,Seed,"Jaipur, Rajasthan, India",FLEECA is a Tyre Care Provider company.,,2018,,,,,,,,
Shop101,"Apps, E-Commerce, Internet",Series B,"Mumbai, Maharashtra, India",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,,2018,,,,,,,,
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,"Bangalore City, Karnataka, India",On Demand Staffing Platform,,2018,,,,,,,,
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,"Bengaluru, Karnataka, India",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,,2018,,,,,,,,
Ambee,"Health Care, Medical Device, Public Safety",Angel,"Bangalore, Karnataka, India",Ambee is an Environment analytics startup.,,2018,,,,,,,,
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,"Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",,2018,,,,,,,,
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,"Bengaluru, Karnataka, India",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,,2018,,,,,,,,
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,"New Delhi, Delhi, India",Olly is a digital credit card for India's working masses and young people.,,2018,,,,,,,,
Zestl,Software,Seed,"Pune, Maharashtra, India","No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",,2018,,,,,,,,
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Equity,"Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,,2018,,,,,,,,
Wakefit,"Manufacturing, Retail",,"Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,,2018,,,,,,,,
Hero Electric,Manufacturing,,"New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",,2018,,,,,,,,
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,,2018,,,,,,,,
PerkFinance,"Consumer Lending, FinTech",Seed,"Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,,2018,,,,,,,,
Roposo,"Internet, Social Network, TV",Series C,"Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,,2018,,,,,,,,
Plum Goodness,"Beauty, Health Care",Series A,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,,2018,,,,,,,,
Drstore,Hospital,Seed,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.,,2018,,,,,,,,
Wow Venue,Events,,"Mumbai, Maharashtra, India",Wow Venue is an online platform.,,2018,,,,,,,,
Chizel,"3D Printing, Manufacturing, Product Design",Seed,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,,2018,,,,,,,,
OTO Capital,Automotive,Seed,"Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.,,2018,,,,,,,,
Boodmo,"Automotive, Retail",Seed,"Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.,,2018,,,,,,,,
Khabri,"Apps, Audio",Seed,"Haryana, Haryana, India",Khabri is a digital audio platform for content in vernacular.,,2018,,,,,,,,
MyNewCar.in,"Automotive, E-Commerce",,"Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,,2018,,,,,,,,
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,"Bangalore, Karnataka, India",A daily fantasy sports platform.,,2018,,,,,,,,
PlanetSpark,"E-Learning, EdTech, Education",Seed,"Gurgaon, Haryana, India",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,,2018,,,,,,,,
WheelsEMI,—,Series B,"Pune, Maharashtra, India","WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",,2018,,,,,,,,
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,"Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",,2018,,,,,,,,
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,"Gurgaon, Haryana, India",OYO is an Indian hospitality startup that operates a network of budget hotels.,,2018,,,,,,,,
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,"Bangalore, Karnataka, India","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",,2018,,,,,,,,
Tabono,Sports,Seed,"Gurgaon, Haryana, India",Tabono is a one stop environment for all your fitness solution.,,2018,,,,,,,,
LearnApp,"Banking, E-Learning, Trading Platform",Seed,"Noida, Uttar Pradesh, India","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",,2018,,,,,,,,
Shopkirana,"E-Commerce, Mobile, Retail",,"Indore, Madhya Pradesh, India",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,,2018,,,,,,,,
Fric Bergen,—,,"Alwar, Rajasthan, India",Fric Bergen is a leader in the specialty food industry.,,2018,,,,,,,,
Articbot,"Artificial Intelligence, Information Technology",Grant,"Kannur, Kerala, India",Articbot is a conversational AI platform for automated customer support and lead generation,,2018,,,,,,,,
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,"Gurgaon, Haryana, India",India’s most advanced ERP system for the real estate,,2018,,,,,,,,
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,"New Delhi, Delhi, India",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,,2018,,,,,,,,
Any time Doctor,Software,Angel,"Chennai, Tamil Nadu, India",Anytime Doctor is a Software company.,,2018,,,,,,,,
Go Payments,"Information Services, Information Technology",,"Mumbai, Maharashtra, India",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,,2018,,,,,,,,
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,"Mumbai, Maharashtra, India",We build In-Destination Experiences!,,2018,,,,,,,,
ION Energy,"Energy, Energy Storage, Infrastructure",,"Mumbai, Maharashtra, India",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,,2018,,,,,,,,
UnoTag,Artificial Intelligence,Seed,"Bangalore, Karnataka, India",SaaS to verify counterfeit,,2018,,,,,,,,
CivilCops,"Government, Information Technology, Software",Seed,"Gurgaon, Haryana, India",Gov-Tech,,2018,,,,,,,,
Rockmetric,Information Technology,Grant,"Mumbai, Maharashtra, India","Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",,2018,,,,,,,,
Classworks India,"Education, Information Technology, Internet, Mobile, Software",,"Chennai, Tamil Nadu, India","Saas, Web App, Mobile App, School Education",,2018,,,,,,,,
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,"Mumbai, Maharashtra, India","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",,2018,,,,,,,,
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Seed,"Bangalore, Karnataka, India",Ai platform for Art and Creative Community,,2018,,,,,,,,
